class,name,name_last,name_first,party,state
1,"Baldwin, Tammy",Baldwin,Tammy,D,WI
1,"Brown, Sherrod",Brown,Sherrod,D,OH
1,"Butler, Laphonza R.",Butler,Laphonza R.,D,CA
1,"Cantwell, Maria",Cantwell,Maria,D,WA
1,"Cardin, Benjamin L.",Cardin,Benjamin L.,D,MD
1,"Carper, Thomas R.",Carper,Thomas R.,D,DE
1,"Casey, Robert P., Jr.",Casey,"Robert P., Jr.",D,PA
1,"Gillibrand, Kirsten E.",Gillibrand,Kirsten E.,D,NY
1,"Heinrich, Martin",Heinrich,Martin,D,NM
1,"Hirono, Mazie K.",Hirono,Mazie K.,D,HI
1,"Kaine, Tim",Kaine,Tim,D,VA
1,"Klobuchar, Amy",Klobuchar,Amy,D,MN
1,"Manchin, Joe, III",Manchin,"Joe, III",D,WV
1,"Menendez, Robert",Menendez,Robert,D,NJ
1,"Murphy, Christopher",Murphy,Christopher,D,CT
1,"Rosen, Jacky",Rosen,Jacky,D,NV
1,"Stabenow, Debbie",Stabenow,Debbie,D,MI
1,"Tester, Jon",Tester,Jon,D,MT
1,"Warren, Elizabeth",Warren,Elizabeth,D,MA
1,"Whitehouse, Sheldon",Whitehouse,Sheldon,D,RI
1,"Barrasso, John",Barrasso,John,R,WY
1,"Blackburn, Marsha",Blackburn,Marsha,R,TN
1,"Braun, Mike",Braun,Mike,R,IN
1,"Cramer, Kevin",Cramer,Kevin,R,ND
1,"Cruz, Ted",Cruz,Ted,R,TX
1,"Fischer, Deb",Fischer,Deb,R,NE
1,"Hawley, Josh",Hawley,Josh,R,MO
1,"Romney, Mitt",Romney,Mitt,R,UT
1,"Scott, Rick",Scott,Rick,R,FL
1,"Wicker, Roger F.",Wicker,Roger F.,R,MS
1,"King, Angus S., Jr.",King,"Angus S., Jr.",I,ME
1,"Sanders, Bernard",Sanders,Bernard,I,VT
1,"Sinema, Kyrsten",Sinema,Kyrsten,I,AZ
2,"Booker, Cory A.",Booker,Cory A.,D,NJ
2,"Coons, Christopher A.",Coons,Christopher A.,D,DE
2,"Durbin, Richard J.",Durbin,Richard J.,D,IL
2,"Hickenlooper, John W.",Hickenlooper,John W.,D,CO
2,"Luján, Ben Ray",Luján,Ben Ray,D,NM
2,"Markey, Edward J.",Markey,Edward J.,D,MA
2,"Merkley, Jeff",Merkley,Jeff,D,OR
