state,date,concurrent,usCongressBioId,familyName,job_start,job_end,first_congress,last_congress,job_start_imputed,job_end_imputed
CT,1810-05-10,3,D000024,Dana,1810-05-10,1821-03-03,11,16,FALSE,TRUE
CT,1810-05-10,3,G000293,Goodrich,1807-10-25,1815-03-03,10,13,FALSE,TRUE
CT,1810-05-10,3,H000618,Hillhouse,1796-05-18,1810-06-10,4,11,FALSE,FALSE
CT,1813-05-13,3,D000002,Daggett,1813-05-13,1819-03-03,13,15,FALSE,TRUE
CT,1813-05-13,3,D000024,Dana,1810-05-10,1821-03-03,11,16,FALSE,TRUE
CT,1813-05-13,3,G000293,Goodrich,1807-10-25,1815-03-03,10,13,FALSE,TRUE
CT,1876-03-04,3,B000166,Barnum,1876-03-04,1879-03-03,44,45,FALSE,TRUE
CT,1876-03-04,3,E000028,Eaton,1875-02-05,1881-03-03,43,46,FALSE,TRUE
CT,1876-03-04,3,E000185,English,1875-11-27,1876-05-17,44,44,FALSE,FALSE
GA,1828-11-07,3,B000413,Berrien,1825-03-04,1829-03-14,19,21,TRUE,FALSE
GA,1828-11-07,3,C000553,Cobb,1825-03-04,1829-03-03,19,20,TRUE,TRUE
GA,1828-11-07,3,P000539,Prince,1828-11-07,1829-03-03,20,20,FALSE,TRUE
GA,1833-11-21,3,F000284,Forsyth,1829-11-09,1834-06-27,21,23,FALSE,FALSE
GA,1833-11-21,3,K000207,King,1833-11-21,1837-11-01,23,25,FALSE,FALSE
GA,1833-11-21,3,T000382,Troup,1829-03-04,1835-03-03,21,23,TRUE,TRUE
GA,1835-01-12,3,C001023,Cuthbert,1835-01-12,1843-03-03,23,27,FALSE,TRUE
GA,1835-01-12,3,K000207,King,1833-11-21,1837-11-01,23,25,FALSE,FALSE
GA,1835-01-12,3,T000382,Troup,1829-03-04,1835-03-03,21,23,TRUE,TRUE
GA,1848-02-04,3,B000413,Berrien,1847-11-13,1852-05-28,30,32,FALSE,FALSE
GA,1848-02-04,3,C000648,Colquitt,1843-03-04,1849-03-03,28,30,FALSE,TRUE
GA,1848-02-04,3,J000139,Johnson,1848-02-04,1849-03-03,30,30,FALSE,TRUE
IL,1856-03-15,3,D000457,Douglas,1847-03-04,1861-06-03,30,37,FALSE,FALSE
IL,1856-03-15,3,T000392,Trumbull,1855-03-04,1873-03-03,34,42,FALSE,TRUE
IL,1856-03-15,3,Y000012,Yates,1856-03-15,1871-03-03,39,41,TRUE,TRUE
IL,1861-06-26,3,B000960,Browning,1861-06-26,1863-01-12,37,37,FALSE,FALSE
IL,1861-06-26,3,T000392,Trumbull,1855-03-04,1873-03-03,34,42,FALSE,TRUE
IL,1861-06-26,3,Y000012,Yates,1856-03-15,1871-03-03,39,41,TRUE,TRUE
IL,1863-01-12,3,B000960,Browning,1861-06-26,1863-01-12,37,37,FALSE,FALSE
IL,1863-01-12,3,R000228,Richardson,1863-01-12,1865-03-03,37,38,FALSE,FALSE
IL,1863-01-12,3,T000392,Trumbull,1855-03-04,1873-03-03,34,42,FALSE,TRUE
IL,1863-01-12,3,Y000012,Yates,1856-03-15,1871-03-03,39,41,TRUE,TRUE
KY,1819-12-10,3,J000170,Johnson,1819-12-10,1829-03-03,16,20,FALSE,TRUE
KY,1819-12-10,3,L000405,Logan,1819-03-04,1820-05-28,16,16,FALSE,FALSE
KY,1819-12-10,3,T000017,Talbot,1815-02-02,1825-03-03,13,18,FALSE,TRUE
KY,1841-03-04,3,C000482,Clay,1831-11-10,1842-03-31,22,27,FALSE,FALSE
KY,1841-03-04,3,C000912,Crittenden,1835-03-04,1848-06-12,24,30,FALSE,FALSE
KY,1841-03-04,3,M000938,Morehead,1841-03-04,1847-03-03,27,29,TRUE,TRUE
KY,1856-03-15,3,C000912,Crittenden,1855-03-04,1861-03-03,34,36,FALSE,TRUE
KY,1856-03-15,3,G000534,Guthrie,1856-03-15,1868-02-07,39,40,TRUE,FALSE
KY,1856-03-15,3,T000208,Thompson,1853-03-04,1859-03-03,33,35,TRUE,TRUE
KY,1859-03-04,3,C000912,Crittenden,1855-03-04,1861-03-03,34,36,FALSE,TRUE
KY,1859-03-04,3,G000534,Guthrie,1856-03-15,1868-02-07,39,40,TRUE,FALSE
KY,1859-03-04,3,P000481,Powell,1859-03-04,1865-03-03,36,38,TRUE,FALSE
KY,1861-03-04,3,B000789,Breckinridge,1861-03-04,1861-12-04,37,37,TRUE,FALSE
KY,1861-03-04,3,G000534,Guthrie,1856-03-15,1868-02-07,39,40,TRUE,FALSE
